region_code,region,region_correspondence_code,region_name,orderr
1300000000,NATIONAL CAPITAL REGION (NCR),130000000,NCR,1
1400000000,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,CAR,2
0100000000,REGION I (ILOCOS REGION),010000000,I,3
0200000000,REGION II (CAGAYAN VALLEY),020000000,II,4
0300000000,REGION III (CENTRAL LUZON),030000000,III,5
0400000000,REGION IV-A (CALABARZON),040000000,IV-A,6
1700000000,MIMAROPA REGION,170000000,MIMAROPA,7
0500000000,REGION V (BICOL REGION),050000000,V,8
0600000000,REGION VI (WESTERN VISAYAS),060000000,VI,9
1800000000,NEGROS ISLAND REGION (NIR),1800000000,NIR,10
0700000000,REGION VII (CENTRAL VISAYAS),070000000,VII,11
0800000000,REGION VIII (EASTERN VISAYAS),080000000,VIII,12
0900000000,REGION IX (ZAMBOANGA PENINSULA),090000000,IX,13
1000000000,REGION X (NORTHERN MINDANAO),100000000,X,14
1100000000,REGION XI (DAVAO REGION),110000000,XI,15
1200000000,REGION XII (SOCCSKSARGEN),120000000,XII,16
1600000000,REGION XIII (CARAGA),160000000,CARAGA,17
1900000000,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),150000000,BARMM,18